start time,title,artist,duration,program id
2021-06-09T00:00:06-05:00,Gold Dust Woman,Fleetwood Mac,276,3242
2021-06-09T00:04:47-05:00,Heart-Shaped Box,Nirvana,277,4435
2021-06-09T00:09:25-05:00,Should I Stay Or Should I Go?,Clash,185,2686
2021-06-09T00:19:16-05:00,Enter Sandman,Metallica,308,4046
2021-06-09T00:24:30-05:00,Paradise City,Guns N' Roses,404,4741
2021-06-09T00:31:14-05:00,"Lovin, Touchin, Squeezin'",Journey,229,2864
2021-06-09T00:35:09-05:00,You Shook Me All Night Long,AC/DC,209,2963
2021-06-09T00:38:38-05:00,Bad Company,Bad Company,274,1355
2021-06-09T00:43:17-05:00,Refugee,Tom Petty & The Heartbreakers,198,1000
2021-06-09T00:51:08-05:00,Closer To The Heart,Rush,165,1044
2021-06-09T00:53:59-05:00,No More Tears,Ozzy Osbourne,433,2439
2021-06-09T01:01:18-05:00,Shattered,Rolling Stones,222,1220
2021-06-09T01:05:05-05:00,Bad To The Bone,George Thorogood,287,2428
2021-06-09T01:16:32-05:00,Down In A Hole,Alice In Chains,329,1571
2021-06-09T01:22:02-05:00,Dude (Looks Like A Lady),Aerosmith,251,2979
2021-06-09T01:26:17-05:00,Just What I Needed,Cars,221,1037
2021-06-09T01:29:59-05:00,Better Man (Single Version),Pearl Jam,236,4701
2021-06-09T01:34:00-05:00,Heartbreaker,Pat Benatar,204,2243
2021-06-09T01:37:24-05:00,"Bringing On The Heartbreak,switch625",Def Leppard,454,2471
2021-06-09T01:50:07-05:00,Nothin' But A Good Time,Poison,220,2594
2021-06-09T01:53:48-05:00,Have A Cigar,Pink Floyd,292,1611
2021-06-09T01:58:45-05:00,Sex Type Thing,Stone Temple Pilots,215,2913
2021-06-09T02:02:27-05:00,Sharp Dressed Man,ZZ Top,244,1589
2021-06-09T02:06:35-05:00,Sultans Of Swing,Dire Straits,324,1828
2021-06-09T02:12:00-05:00,Are You Gonna Be My Girl,Jet,210,2783
2021-06-09T02:20:06-05:00,Sunday Bloody Sunday,U2,272,1799
2021-06-09T02:24:38-05:00,Ain't Talkin' 'bout Love,Van Halen,225,1089
2021-06-09T02:28:29-05:00,Lonely Is The Night,"Squier, Billy",269,1617
2021-06-09T02:32:58-05:00,Simple Man,Lynyrd Skynyrd,342,2088
2021-06-09T02:38:44-05:00,Modern Love,David Bowie,228,4180
2021-06-09T02:42:33-05:00,While My Guitar Gently Weeps,Beatles,270,1123
2021-06-09T02:47:08-05:00,Turn The Page,Metallica,304,2449
2021-06-09T02:55:19-05:00,Whole Lotta Love,Led Zeppelin,322,1662
2021-06-09T03:00:48-05:00,(I Can't Get No) Satisfaction,Rolling Stones,217,1155
2021-06-09T03:04:31-05:00,Creep,Radiohead,231,2097
2021-06-09T03:08:23-05:00,Tightrope,Stevie Ray Vaughn,266,2440
2021-06-09T03:18:36-05:00,Let The Good Times Roll,Cars,221,1035
2021-06-09T03:22:17-05:00,Smells Like Teen Spirit (Edit),Nirvana,271,4718
2021-06-09T03:26:54-05:00,Blue Collar Man (Long Nights),Styx,242,2691
2021-06-09T03:30:57-05:00,For Those About To Rock (We Salute You),AC/DC,342,2648
2021-06-09T03:36:44-05:00,All Right Now,Free,329,1753
2021-06-09T03:42:13-05:00,Runnin' Down A Dream,"Petty, Tom",253,4067
2021-06-09T03:46:32-05:00,Paranoid,Black Sabbath,164,1437
2021-06-09T03:53:23-05:00,Juke Box Hero,Foreigner,258,2881
2021-06-09T03:57:47-05:00,We Will Rock You/we Are The Champions,Queen,294,2584
2021-06-09T04:02:48-05:00,Signs,Tesla,186,1455
2021-06-09T04:06:00-05:00,Panama,Van Halen,209,2826
2021-06-09T04:09:30-05:00,Layla,Derek & The Dominoes,418,1588
2021-06-09T04:20:01-05:00,Empty Spaces / Young Lust,Pink Floyd,287,1302
2021-06-09T04:24:48-05:00,Hollywood Nights,Bob Seger & The Sbb,291,1193
2021-06-09T04:29:44-05:00,Photograph,Def Leppard,238,1798
2021-06-09T04:33:43-05:00,Don't Look Back,Boston,351,2055
2021-06-09T04:39:39-05:00,Jeremy,Pearl Jam,308,4232
2021-06-09T04:44:48-05:00,Limelight,Rush,257,1045
2021-06-09T04:51:13-05:00,I Won't Back Down,Tom Petty,170,4055
2021-06-09T04:54:03-05:00,Hold The Line,Toto,234,1630
2021-06-09T04:58:03-05:00,The Unforgiven,Metallica,365,1444
2021-06-09T05:04:15-05:00,Dream On,Aerosmith,258,1020
2021-06-09T05:08:37-05:00,Far Behind,Candlebox,288,4007
2021-06-09T05:21:49-05:00,Ramble On,Led Zeppelin,243,1059
2021-06-09T05:25:53-05:00,I Can't Drive 55,Sammy Hagar,239,1636
