start time,title,artist,duration,program id
2020-11-07T00:04:09-06:00,Sweet Home Alabama,Lynyrd Skynyrd,271,201
2020-11-07T00:08:49-06:00,Freewill,Rush,316,201
2020-11-07T00:14:05-06:00,American Girl,Tom Petty & The Heartbreaker,203,201
2020-11-07T00:20:38-06:00,Soul To Squeeze,Red Hot Chili Peppers,284,201
2020-11-07T00:25:22-06:00,Shoot To Thrill,AC/DC,316,201
2020-11-07T00:30:50-06:00,Stay With Me,Faces  W/ Rod Stewart,273,203
2020-11-07T00:35:23-06:00,Jump,Van Halen,227,201
2020-11-07T00:39:24-06:00,Whole Lotta Love,Led Zeppelin,322,201
2020-11-07T00:44:46-06:00,Hollywood Nights,Bob Seger & The Sbb,291,201
2020-11-07T00:51:21-06:00,Better Man (Single Version),Pearl Jam,236,201
2020-11-07T00:55:32-06:00,Start Me Up,Rolling Stones,205,201
2020-11-07T00:58:57-06:00,Fame,David Bowie,240,201
2020-11-07T01:03:05-06:00,Give A Little Bit,Supertramp,242,201
2020-11-07T01:07:19-06:00,"Bringing On The Heartbreak,s",Def Leppard,454,204
2020-11-07T01:14:53-06:00,Barracuda,Heart,260,202
2020-11-07T01:22:57-06:00,Vasoline,Stonetemple Pilots,163,204
2020-11-07T01:25:41-06:00,Owner Of A Lonely Heart,Yes,226,201
2020-11-07T01:29:38-06:00,Comfortably Numb,Pink Floyd,374,201
2020-11-07T01:35:53-06:00,Round And Round,Ratt,259,201
2020-11-07T01:40:15-06:00,Fat Bottomed Girls,Queen,253,201
2020-11-07T01:44:29-06:00,Nothin' But A Good Time,Poison,220,201
2020-11-07T01:51:16-06:00,Cheap Sunglasses,ZZ Top,286,201
2020-11-07T01:56:17-06:00,Any Way You Want It,Journey,189,201
2020-11-07T01:59:26-06:00,Immigrant Song,Led Zeppelin,140,201
2020-11-07T02:01:54-06:00,Panama,Van Halen,209,203
2020-11-07T02:05:36-06:00,Spoonman,Soundgarden,244,201
2020-11-07T02:09:40-06:00,Hotel California,Eagles,379,201
2020-11-07T02:20:31-06:00,I Still Haven't Found What I,U2,265,201
2020-11-07T02:24:56-06:00,One Way or Another,Blondie,208,201
2020-11-07T02:28:34-06:00,Hey Jude,Beatles,397,201
2020-11-07T02:35:12-06:00,We're An American Band,Grand Funk,203,201
2020-11-07T02:38:41-06:00,Every Breath You Take,Police,242,201
2020-11-07T02:42:44-06:00,Smokin',Boston,257,201
2020-11-07T02:49:07-06:00,Best Of You,Foo Fighters,253,205
2020-11-07T02:53:30-06:00,Learning To Fly,Pink Floyd,283,201
2020-11-07T02:58:14-06:00,Take The Money And Run,Steve Miller Band,162,201
2020-11-07T03:01:01-06:00,Sympathy For The Devil,Rolling Stones,365,201
2020-11-07T03:07:16-06:00,Paranoid,Black Sabbath,164,201
2020-11-07T03:10:01-06:00,Live And Let Die,Guns N' Roses,176,201
2020-11-07T03:17:21-06:00,The Spirit Of Radio,Rush,295,201
2020-11-07T03:22:16-06:00,Cold As Ice,Foreigner,190,201
2020-11-07T03:25:38-06:00,Hit Me With Your Best Shot,Pat Benatar,168,202
2020-11-07T03:28:26-06:00,Dance Night Away,Van Halen,174,201
2020-11-07T03:31:33-06:00,Don't You Forget About Me,Simple Minds,254,201
2020-11-07T03:35:48-06:00,We Will Rock You/we Are The,Queen,294,201
2020-11-07T03:40:49-06:00,Basket Case,Green Day,174,202
2020-11-07T03:46:23-06:00,Rock And Roll Ain't Noise Po,AC/DC,251,201
2020-11-07T03:50:34-06:00,Free Bird,Lynyrd Skynyrd,536,201
2020-11-07T03:59:42-06:00,Pride (In The Name Of Love),U2,219,201
2020-11-07T04:03:26-06:00,Sweet Emotion,Aerosmith,263,201
2020-11-07T04:08:00-06:00,Runaway,Bon Jovi,223,204
2020-11-07T04:11:44-06:00,Lights,Journey,189,201
2020-11-07T04:17:23-06:00,Rock Of Ages,Def Leppard,234,201
2020-11-07T04:21:18-06:00,Peace Of Mind,Boston,290,201
2020-11-07T04:26:21-06:00,Purple Haze,Jimi Hendrix,164,201
2020-11-07T04:29:05-06:00,Small Town,John Mellencamp,215,201
2020-11-07T04:32:46-06:00,Even Flow -album Cut,Pearl Jam,290,204
