start time,title,artist,duration,program id
2020-10-06T00:05:29-05:00,Take It Easy,Eagles,205,201
2020-10-06T00:09:07-05:00,"Girls, Girls, Girls",Motley Crue,256,201
2020-10-06T00:13:24-05:00,Everlong,Foo Fighters,239,201
2020-10-06T00:22:26-05:00,Beast Of Burden,Rolling Stones,198,201
2020-10-06T00:25:45-05:00,We're Not Gonna Take It,Twisted Sister,205,201
2020-10-06T00:29:16-05:00,Fortunate Son,Creedence Clearwater Revival,132,201
2020-10-06T00:31:29-05:00,Paranoid,Black Sabbath,164,201
2020-10-06T00:34:25-05:00,Mary Jane's Last Dance,Tom Petty & The Heartbreaker,262,201
2020-10-06T00:38:47-05:00,Slow Ride,Foghat,490,201
2020-10-06T00:47:11-05:00,Sweet Child O' Mine (LP Vers,Guns N' Roses,348,201
2020-10-06T00:53:04-05:00,Rock 'n' Roll Fantasy,Bad Company,192,201
2020-10-06T00:56:17-05:00,All Apologies  (Album Versio,Nirvana,225,201
2020-10-06T01:00:19-05:00,Highway To Hell,AC/DC,206,201
2020-10-06T01:04:01-05:00,Foolin',Def Leppard,267,201
2020-10-06T01:08:28-05:00,When I Come Around,Green Day,173,201
2020-10-06T01:17:30-05:00,Call Me The Breeze,Lynyrd Skynyrd,306,201
2020-10-06T01:22:37-05:00,Pride And Joy,Stevie Ray Vaughan,216,201
2020-10-06T01:26:20-05:00,Roxanne,Police,179,201
2020-10-06T01:29:20-05:00,White Room,Cream,287,201
2020-10-06T01:34:18-05:00,Same Old Song And Dance,Aerosmith,222,201
2020-10-06T01:38:00-05:00,Dr. Feelgood,Motley Crue,269,201
2020-10-06T01:42:42-05:00,Daughter,Pearl Jam,213,201
2020-10-06T01:46:24-05:00,Dreams,Fleetwood Mac,250,201
2020-10-06T01:50:34-05:00,Legs,ZZ Top,262,201
2020-10-06T01:55:08-05:00,You Really Got Me,Kinks,127,201
2020-10-06T01:57:16-05:00,Black Dog,Led Zeppelin,284,201
2020-10-06T02:02:06-05:00,Let The Good Times Roll,Cars,221,201
2020-10-06T02:06:01-05:00,Runnin' Down A Dream,"Petty, Tom",253,201
2020-10-06T02:10:15-05:00,My Hero,Foo Fighters,238,201
2020-10-06T02:21:07-05:00,Somebody To Love,Queen,293,203
2020-10-06T02:26:00-05:00,Everybody Wants You,Billy Squier,217,201
2020-10-06T02:29:48-05:00,Sympathy For The Devil,Rolling Stones,365,201
2020-10-06T02:35:53-05:00,All Right Now,Free,329,201
2020-10-06T02:41:32-05:00,Live And Let Die,Guns N' Roses,176,201
2020-10-06T02:44:29-05:00,Run Like Hell,Pink Floyd,256,201
2020-10-06T02:48:57-05:00,Jump,Van Halen,227,201
2020-10-06T02:52:56-05:00,Magic Man,Heart,325,201
2020-10-06T02:58:22-05:00,Turn The Page,Metallica,304,201
2020-10-06T03:03:35-05:00,Life In The Fast Lane,Eagles,277,201
2020-10-06T03:08:24-05:00,Janie's Got A Gun,Aerosmith,309,201
2020-10-06T03:13:34-05:00,Rooster,Alice In Chains,362,201
2020-10-06T03:26:13-05:00,Fool In The Rain,Led Zeppelin,367,201
2020-10-06T03:32:20-05:00,Back In Black,AC/DC,236,201
2020-10-06T03:36:31-05:00,Cold As Ice,Foreigner,190,201
2020-10-06T03:39:53-05:00,Rock And Roll Band,Boston,177,201
2020-10-06T03:42:50-05:00,Love Bites,Def Leppard,321,201
2020-10-06T03:48:23-05:00,This Is A Call,Foo Fighters,226,203
2020-10-06T03:52:20-05:00,Feel Like Makin' Love,Bad Company,302,201
2020-10-06T03:57:23-05:00,Tightrope,Stevie Ray Vaughn,266,201
2020-10-06T04:01:57-05:00,Simple Man,Lynyrd Skynyrd,342,201
2020-10-06T04:07:51-05:00,Every Little Thing She Does,Police,241,201
2020-10-06T04:11:53-05:00,Good Riddance (Time of Your,Green Day,143,201
2020-10-06T04:21:04-05:00,American Girl,Tom Petty & The Heartbreaker,203,201
2020-10-06T04:24:28-05:00,Shot In The Dark,"Osbourne, Ozzy",243,201
2020-10-06T04:28:37-05:00,Revolution  (Hit 45 Version),Beatles,197,204
2020-10-06T04:31:54-05:00,We Will Rock You/we Are The,Queen,294,201
2020-10-06T04:37:00-05:00,Alive,Pearl Jam,339,201
2020-10-06T04:42:39-05:00,You Can't Always Get What Yo,Rolling Stones,437,201
2020-10-06T04:50:10-05:00,Livin' On A Prayer,Bon Jovi,235,201
2020-10-06T04:54:12-05:00,Heart-Shaped Box,Nirvana,277,201
2020-10-06T04:59:00-05:00,Here I Go Again,Whitesnake,266,201
2020-10-06T05:03:34-05:00,Comfortably Numb,Pink Floyd,374,201
2020-10-06T05:10:03-05:00,Love In An Elevator,Aerosmith,320,201
2020-10-06T05:15:23-05:00,Sad But True,Metallica,319,201
2020-10-06T05:28:51-05:00,Dance Night Away,Van Halen,174,201
2020-10-06T05:31:46-05:00,Knockin' On Heaven's Door,Guns N' Roses,332,201
2020-10-06T05:37:30-05:00,Life's Been Good  (Long Vers,Joe Walsh,472,201
2020-10-06T05:45:30-05:00,Hey Hey What Can I Do,Led Zeppelin,230,201
2020-10-06T05:49:33-05:00,You Don't Know How It Feels,"Petty, Tom",282,203
2020-10-06T06:01:51-05:00,Free Bird,Lynyrd Skynyrd,536,201
2020-10-06T06:10:48-05:00,Rock Of Ages,Def Leppard,234,201
2020-10-06T06:14:43-05:00,Remote 1,Call in,35,PG2
2020-10-06T06:21:49-05:00,Otherside (Album Version),Red Hot Chili Peppers,249,201
2020-10-06T06:26:08-05:00,Killer Queen,Queen,174,201
2020-10-06T06:29:03-05:00,Remote 1,Call in,44,PG2
2020-10-06T06:29:47-05:00,Closer To The Heart,Rush,165,201
2020-10-06T06:32:32-05:00,Honky Tonk Women,Rolling Stones,177,201
