start time,title,artist,duration,program id
2020-12-28T00:02:48-06:00,Immigrant Song,Led Zeppelin,140,201
2020-12-28T00:05:17-06:00,Jump,Van Halen,227,201
2020-12-28T00:09:05-06:00,Don't Stop,Fleetwood Mac,185,201
2020-12-28T00:17:48-06:00,"Bringing On The Heartbreak,s",Def Leppard,454,204
2020-12-28T00:25:22-06:00,Message In A Bottle,Police,274,201
2020-12-28T00:30:06-06:00,Sharp Dressed Man,ZZ Top,244,201
2020-12-28T00:34:11-06:00,Ramblin' Man,Allman Brothers Band,279,204
2020-12-28T00:39:02-06:00,Another One Bites The Dust,Queen,209,201
2020-12-28T00:42:31-06:00,Brown Sugar,Rolling Stones,224,201
2020-12-28T00:46:26-06:00,Hard To Handle,Black Crowes,183,201
2020-12-28T00:52:38-06:00,The Waiting,Tom Petty,227,201
2020-12-28T00:56:25-06:00,Straight On,Heart,292,201
2020-12-28T01:01:25-06:00,Dirty Deeds Done Dirt Cheap,AC/DC,222,201
2020-12-28T01:05:20-06:00,Purple Haze,Jimi Hendrix,164,201
2020-12-28T01:08:05-06:00,Double Vision,Foreigner,211,201
2020-12-28T01:16:20-06:00,Patience,Guns N' Roses,344,201
2020-12-28T01:22:04-06:00,Money Edit,Pink Floyd,386,204
2020-12-28T01:28:41-06:00,Learn To Fly,Foo Fighters,229,201
2020-12-28T01:32:31-06:00,Black Dog,Led Zeppelin,284,201
2020-12-28T01:37:25-06:00,Pride And Joy,Stevie Ray Vaughan,216,201
2020-12-28T01:41:01-06:00,Beautiful Girls,Van Halen,232,202
2020-12-28T01:45:05-06:00,With Or Without You,U2,283,201
2020-12-28T01:51:39-06:00,Magic Carpet Ride,Steppenwolf,250,201
2020-12-28T01:55:49-06:00,Synchronicity II,Police,286,201
2020-12-28T02:00:43-06:00,Legs,ZZ Top,262,201
2020-12-28T02:05:11-06:00,The Boys Are Back In Town,Thin Lizzy,257,201
2020-12-28T02:09:29-06:00,Have You Ever Seen The Rain,Creedence Clearwater Revival,154,201
2020-12-28T02:16:50-06:00,Simple Man,Lynyrd Skynyrd,342,201
2020-12-28T02:22:33-06:00,Come Out And Play,"Offspring, The",193,201
2020-12-28T02:25:55-06:00,Killer Queen,Queen,174,201
2020-12-28T02:28:50-06:00,In The Air Tonight,Phil Collins,294,201
2020-12-28T02:33:55-06:00,It's Only Rock N Roll (But I,Rolling Stones,301,201
2020-12-28T02:38:56-06:00,Hysteria,Def Leppard,341,201
2020-12-28T02:44:48-06:00,Rock 'n' Roll Fantasy,Bad Company,192,201
2020-12-28T02:51:06-06:00,You Shook Me All Night Long,AC/DC,209,201
2020-12-28T02:54:35-06:00,Hey Hey What Can I Do,Led Zeppelin,230,201
