start time,title,artist,duration,program id
2021-07-28T00:00:07-05:00,Jump,Van Halen,227,1600
2021-07-28T00:04:01-05:00,Black Dog,Led Zeppelin,284,2369
2021-07-28T00:08:45-05:00,Shot In The Dark,"Osbourne, Ozzy",243,5678
2021-07-28T00:16:11-05:00,Brown Sugar,Rolling Stones,224,1228
2021-07-28T00:19:56-05:00,Sex Type Thing,Stone Temple Pilots,215,2913
2021-07-28T00:23:36-05:00,Rock And Roll Ain't Noise Pollution,AC/DC,251,3005
2021-07-28T00:27:48-05:00,Dreams,Fleetwood Mac,250,9908
2021-07-28T00:32:04-05:00,November Rain,Guns N' Roses,524,4053
2021-07-28T00:40:49-05:00,One Way or Another,Blondie,208,9904
2021-07-28T00:44:23-05:00,"Girls, Girls, Girls",Motley Crue,263,2731
2021-07-28T00:51:56-05:00,All Right Now,Free,329,1753
2021-07-28T00:57:26-05:00,Janie's Got A Gun,Aerosmith,309,4027
2021-07-28T01:02:42-05:00,You Don't Know How It Feels (Album Version),"Petty, Tom",282,6458
2021-07-28T01:07:29-05:00,We're Not Gonna Take It,Twisted Sister,205,2758
2021-07-28T01:10:54-05:00,My Best Friends Girl,Cars,215,1036
2021-07-28T01:20:28-05:00,Everlong,Foo Fighters,239,3127
2021-07-28T01:24:28-05:00,Photograph,Def Leppard,238,1798
2021-07-28T01:28:30-05:00,No More Mister Nice Guy,Alice Cooper,180,4643
2021-07-28T01:31:31-05:00,Under Pressure,Queen & David Bowie,227,2170
2021-07-28T01:35:23-05:00,Money Edit,Pink Floyd,386,0963
2021-07-28T01:41:50-05:00,Round And Round,Ratt,259,1452
2021-07-28T01:46:12-05:00,The Ocean,Led Zeppelin,259,2061
2021-07-28T01:54:41-05:00,Bound For The Floor,Local H,222,2052
2021-07-28T01:58:23-05:00,Gimme All Your Lovin',ZZ Top,231,2195
2021-07-28T02:02:21-05:00,Start Me Up,Rolling Stones,205,1416
2021-07-28T02:05:52-05:00,Layla,Derek & The Dominoes,418,1588
2021-07-28T02:12:50-05:00,Thunderstruck,AC/DC,289,2543
2021-07-28T02:21:15-05:00,Tom Sawyer,Rush,265,1262
2021-07-28T02:25:40-05:00,What's Your Name,Lynyrd Skynyrd,207,1469
2021-07-28T02:29:13-05:00,Brain Stew w/ Jaded,Green Day,280,2470
2021-07-28T02:33:53-05:00,American Girl,Tom Petty & The Heartbreakers,203,1357
