start time,title,artist,duration,program id
2021-08-22T01:59:50-05:00,Lights,Journey,189,2874
2021-08-22T02:03:03-05:00,Sweet Child O' Mine (LP Version),Guns N' Roses,348,2988
2021-08-22T02:08:52-05:00,Sad But True,Metallica,319,4272
2021-08-22T02:19:05-05:00,You're My Best Friend,Queen,168,1902
2021-08-22T02:21:53-05:00,Wanted Dead Or Alive,Bon Jovi,299,4483
2021-08-22T02:26:57-05:00,Happiest Days.../Another Brick In The Wall,Pink Floyd,344,1621
2021-08-22T02:32:41-05:00,Edge Of Seventeen,Stevie Nicks,315,1467
2021-08-22T02:38:01-05:00,Under My Thumb,Rolling Stones,213,1911
2021-08-22T02:41:34-05:00,Basket Case,Green Day,174,8801
2021-08-22T02:44:33-05:00,Hot For Teacher,Van Halen,279,5813
2021-08-22T02:49:18-05:00,Rocky Mountain Way,Joe Walsh,304,1577
2021-08-22T02:54:22-05:00,Yellow Ledbetter,Pearl Jam,299,4694
2021-08-22T02:59:27-05:00,Break On Through,Doors,143,1706
2021-08-22T03:01:56-05:00,I Won't Back Down,Tom Petty,170,4055
2021-08-22T03:04:52-05:00,We're An American Band,Grand Funk,203,1872
2021-08-22T03:08:16-05:00,Hell's Bells,AC/DC,310,8748
2021-08-22T03:18:24-05:00,Let The Good Times Roll,Cars,221,1035
2021-08-22T03:22:05-05:00,Lithium,Nirvana,253,4119
2021-08-22T03:26:23-05:00,New Year's Day,U2,325,2189
2021-08-22T03:31:48-05:00,Gimme 3 Steps,Lynyrd Skynyrd,252,1628
2021-08-22T03:36:06-05:00,Them Bones,Alice In Chains,147,8760
2021-08-22T03:38:34-05:00,Pour Some Sugar On Me,Def Leppard,263,4979
2021-08-22T03:43:02-05:00,Hot Blooded,Foreigner,255,2739
2021-08-22T03:47:51-05:00,Over The Mountain,"Osbourne, Ozzy",267,3135
2021-08-22T03:52:18-05:00,Bad Company,Bad Company,274,1355
2021-08-22T03:56:57-05:00,Legs,ZZ Top,262,1208
2021-08-22T04:01:26-05:00,Soul To Squeeze,Red Hot Chili Peppers,284,1013
2021-08-22T04:06:16-05:00,Stairway To Heaven,Led Zeppelin,476,1073
2021-08-22T04:14:12-05:00,Love Song,Tesla,238,2575
2021-08-22T04:21:31-05:00,Eruption/You Really Got Me,Van Halen,256,2965
2021-08-22T04:25:48-05:00,Nothin' But A Good Time,Poison,220,2594
2021-08-22T04:29:34-05:00,Paint It Black,Rolling Stones,194,1154
2021-08-22T04:32:49-05:00,She Talks To Angels,Black Crowes,324,1741
2021-08-22T04:38:17-05:00,Under Pressure,Queen & David Bowie,227,2170
2021-08-22T04:42:05-05:00,Love Hurts,Nazareth,227,1602
2021-08-22T04:45:57-05:00,Live And Let Die,Guns N' Roses,176,3231
2021-08-22T04:49:00-05:00,"Hello, I Love You",Doors,124,1702
2021-08-22T04:51:05-05:00,Love In An Elevator,Aerosmith,320,4096
2021-08-22T04:56:29-05:00,Brain Damage/eclipse,Pink Floyd,316,1620
2021-08-22T05:01:52-05:00,Lonely Is The Night,"Squier, Billy",269,1617
2021-08-22T05:06:26-05:00,Dirty Deeds Done Dirt Cheap,AC/DC,222,1751
2021-08-22T05:10:08-05:00,Fuel,Metallica,265,0106
2021-08-22T05:20:09-05:00,Owner Of A Lonely Heart,Yes,226,1260
2021-08-22T05:23:56-05:00,The Ocean,Led Zeppelin,259,2061
2021-08-22T05:28:20-05:00,Dead And Bloated,Stone Temple Pilots,308,7663
2021-08-22T05:33:28-05:00,Don't Come Around Here No More,"Petty, Tom & The Heartbreakers",299,1870
