start time,title,artist,duration,program id
2020-11-22T00:03:30-06:00,NO CONTROL Radio Pt I,Chuck Loesch,1673,PG2
2020-11-22T00:34:11-06:00,KLBJ SWEEP 3,NO CONTROL RADIO,2,PG2
2020-11-22T00:34:13-06:00,NO CONTROL Radio Pt II,Chuck Loesch,1564,PG2
2020-11-22T01:02:51-06:00,NO CONTROL Radio Pt III,Chuck Loesch,1489,PG2
2020-11-22T01:30:43-06:00,KLBJ SWEEP 4,NO CONTROL RADIO,4,PG2
2020-11-22T01:30:48-06:00,NO CONTROL Radio Pt IV,Chuck Loesch,1491,PG2
2020-11-22T01:58:38-06:00,KLBJ SWEEP 5,NO CONTROL RADIO,2,PG2
2020-11-22T01:58:41-06:00,NO CONTROL Radio Pt V,Chuck Loesch,458,PG2
2020-11-22T02:06:26-06:00,Ramblin' Man,Allman Brothers Band,279,204
2020-11-22T02:11:18-06:00,The Spirit Of Radio,Rush,295,201
2020-11-22T02:16:13-06:00,Beast Of Burden,Rolling Stones,198,201
2020-11-22T02:23:19-06:00,Animal,Def Leppard,241,201
2020-11-22T02:27:20-06:00,China Grove,Doobie Brothers,192,201
2020-11-22T02:30:43-06:00,Legs,ZZ Top,262,201
2020-11-22T02:35:06-06:00,Fool In The Rain,Led Zeppelin,367,201
2020-11-22T02:41:27-06:00,Foxey Lady,Jimi Hendrix,191,201
2020-11-22T02:44:39-06:00,Back In Black,AC/DC,236,201
2020-11-22T02:48:45-06:00,Vasoline,Stonetemple Pilots,163,204
2020-11-22T02:54:13-06:00,The Chain,Fleetwood Mac,253,201
2020-11-22T02:58:27-06:00,Runnin' Down A Dream,"Petty, Tom",253,201
2020-11-22T03:02:45-06:00,White Room,Cream,287,201
2020-11-22T03:07:43-06:00,We're An American Band,Grand Funk,203,201
2020-11-22T03:11:07-06:00,Jump,Van Halen,227,201
2020-11-22T03:17:12-06:00,Hey You,Pink Floyd,275,201
2020-11-22T03:21:48-06:00,Bullet With Butterfly Wings,Smashing Pumpkins,255,201
2020-11-22T03:26:15-06:00,Love In An Elevator,Aerosmith,320,201
2020-11-22T03:31:35-06:00,Simple Man,Lynyrd Skynyrd,342,201
2020-11-22T03:37:30-06:00,Livin' On A Prayer,Bon Jovi,235,201
2020-11-22T03:41:25-06:00,Heartbreaker / Living Loving,Led Zeppelin,411,201
2020-11-22T03:51:24-06:00,I Want You To Want Me (Live),Cheap Trick,215,201
2020-11-22T03:55:14-06:00,Jeremy,Pearl Jam,308,201
2020-11-22T04:00:28-06:00,Every Little Thing She Does,Police,241,201
2020-11-22T04:04:41-06:00,All Right Now,Free,329,201
2020-11-22T04:10:10-06:00,Bad Reputation,Joan Jett,159,204
2020-11-22T04:16:35-06:00,Killer Queen,Queen,174,201
2020-11-22T04:19:29-06:00,Fell On Black Days,Soundgarden,274,201
2020-11-22T04:24:16-06:00,You Got Lucky,Tom Petty & The Heartbreaker,201,201
2020-11-22T04:27:37-06:00,Born To Run,Bruce Springsteen,264,201
2020-11-22T04:32:11-06:00,Crossfire,"Vaughan, Stevie Ray",246,201
2020-11-22T04:36:18-06:00,Magic Man,Heart,325,201
2020-11-22T04:41:48-06:00,For Those About To Rock (We,AC/DC,342,201
2020-11-22T04:47:39-06:00,Baby Hold On,Eddie Money,209,201
2020-11-22T04:51:08-06:00,Knockin' On Heaven's Door,Guns N' Roses,332,201
2020-11-22T04:56:44-06:00,Double Vision,Foreigner,211,201
2020-11-22T05:00:21-06:00,Fire,Jimi Hendrix,149,201
2020-11-22T05:03:01-06:00,Panama,Van Halen,209,203
2020-11-22T05:06:31-06:00,Machinehead,Bush,246,201
2020-11-22T05:16:22-06:00,Rocket Man,Elton John,268,201
2020-11-22T05:20:51-06:00,Tom Sawyer,Rush,265,201
2020-11-22T05:25:27-06:00,Misty Mountain Hop,Led Zeppelin,271,201
2020-11-22T05:29:58-06:00,Down On The Corner,Creedance Clearwater Revival,150,201
2020-11-22T05:32:40-06:00,Peace Of Mind,Boston,290,201
2020-11-22T05:37:30-06:00,Photograph,Def Leppard,238,201
2020-11-22T05:41:38-06:00,American Girl,Tom Petty & The Heartbreaker,203,201
2020-11-22T05:49:09-06:00,Self Esteem,"Offspring, The",255,201
2020-11-22T05:53:24-06:00,Signs,Tesla,186,201
2020-11-22T05:56:42-06:00,Baba O'riley,"Who, The",294,201
2020-11-22T06:01:43-06:00,Local Insights seg 1,B-DOE,618,NWS
2020-11-22T06:14:49-06:00,Local Insights seg 2,B-DOE,597,NWS
2020-11-22T06:24:58-06:00,I Still Haven't Found What I,U2,265,201
2020-11-22T06:29:23-06:00,"Hello, I Love You",Doors,124,201
2020-11-22T06:31:40-06:00,Runnin' With The Devil,Van Halen,209,201
2020-11-22T06:35:10-06:00,Creep,Stone Temple Pilots,329,201
2020-11-22T06:40:50-06:00,Small Town,John Mellencamp,215,201
2020-11-22T06:49:26-06:00,Waitin' For The Bus / Jesus,ZZ Top,372,201
2020-11-22T06:55:47-06:00,Crazy Train,Ozzy Osbourne,277,201
2020-11-22T07:00:31-06:00,Take The Long Way Home,Supertramp,287,201
2020-11-22T07:05:28-06:00,Sweet Home Alabama,Lynyrd Skynyrd,271,201
2020-11-22T07:09:59-06:00,When I Come Around,Green Day,173,201
2020-11-22T07:19:52-06:00,Patience,Guns N' Roses,344,201
2020-11-22T07:25:36-06:00,Night Moves,Bob Seger & The Silver Bulle,318,201
2020-11-22T07:31:09-06:00,Hell's Bells,AC/DC,310,202
2020-11-22T07:36:20-06:00,Two Tickets To Paradise,Eddie Money,235,201
2020-11-22T07:40:26-06:00,Who Are You,"Who, The",373,201
2020-11-22T07:52:43-06:00,Free Fallin',Tom Petty,240,201
2020-11-22T07:56:54-06:00,Stay With Me,Faces  W/ Rod Stewart,273,203
2020-11-22T08:01:35-06:00,Smells Like Teen Spirit (Edi,Nirvana,271,201
2020-11-22T08:06:21-06:00,Roxanne,Police,179,201
2020-11-22T08:09:21-06:00,Pride And Joy,Stevie Ray Vaughan,216,201
2020-11-22T08:19:58-06:00,The Boys Are Back In Town,Thin Lizzy,257,201
2020-11-22T08:24:16-06:00,Come Together,Beatles,247,201
2020-11-22T08:28:30-06:00,The Ocean,Led Zeppelin,259,201
2020-11-22T08:32:49-06:00,Hurts So Good,John Mellencamp,207,205
2020-11-22T08:36:28-06:00,Run Like Hell,Pink Floyd,256,201
2020-11-22T08:40:45-06:00,Learn To Fly,Foo Fighters,229,201
2020-11-22T08:44:47-06:00,Intruder / (Oh) Pretty Woman,Van Halen,270,201
2020-11-22T08:55:25-06:00,Tush,ZZ Top,131,201
2020-11-22T08:57:36-06:00,Stop Draggin' My Heart Aroun,Stevie Nicks & Tom Petty,226,201
2020-11-22T09:01:30-06:00,Fat Bottomed Girls,Queen,253,201
2020-11-22T09:05:54-06:00,Nothing Else Matters,Metallica,370,201
2020-11-22T09:12:05-06:00,Pride (In The Name Of Love),U2,219,201
2020-11-22T09:22:39-06:00,Same Old Song And Dance,Aerosmith,222,201
2020-11-22T09:26:21-06:00,Refugee,Tom Petty & The Heartbreaker,198,201
2020-11-22T09:29:48-06:00,Give A Little Bit,Supertramp,242,201
2020-11-22T09:33:51-06:00,White Wedding,Billy Idol,243,201
2020-11-22T09:38:05-06:00,Going To California,Led Zeppelin,210,201
